Name,Required,Type,Description,Exclude,Value,POST Status,Error Message in POST,GET Status,Error Message in GET,INBOX Status
$.ClientQualifier,,String,ClientQualifier is  ClientCustomID,,ClientCustomID,SUCCESS,,,,yes
$.ClientIdentifier,Yes,String,Return FAILED when ClientIdentifier set empty OR NULL,,,FAILED,,,,
$.ClientIdentifier ,,Integer[0:64],Return FAILED when ClientIdentifier set more than 64 chars,,,FAILED,,,,
$.ClientIdentifier,,Integer[0:8],Return FAILED when ClientIdentifier set less than 10 chars,,,FAILED,,,,
$.ClientIdentifier ,,Integer[0:10],Return FAILED when ClientIdentifier set more than 10 chars,,,FAILED,,,,
$.ClientIdentifier ,,Integer,ClientIdentifier is not MedicaidID (length=10),,SandataID,FAILED,,,,
$.ClientIdentifier ,,Integer,ClientIdentifier is MedicaidID,,MedicaidID,SUCCESS,,,,yes
$.ProviderIdentification.ProviderQualifier,Yes,String,Return FAILED when ProviderQualifier set empty OR NULL,,,FAILED,,,,
$.ProviderIdentification.ProviderQualifier,,String[0:30],Return FAILED when ProviderQualifier set more than 30 chars,,,FAILED,,,,
$.ProviderIdentification.ProviderQualifier,,String[0:10],Return FAILED when ProviderQualifier set less than 30 chars (not MedicaidID),,SandataID,FAILED,,,,
$.ProviderIdentification.ProviderQualifier,,String,ProviderQualifier is MedicaidID,,MedicaidID,SUCCESS,,,,yes
$.ProviderIdentification.ProviderID,Yes,String,Return FAILED when ProviderID set empty OR NULL,,,FAILED,,,,
$.ProviderIdentification.ProviderID,,Integer[0:64],Return FAILED when ProviderID set more than 64 digits,,,FAILED,,,,
$.ProviderIdentification.ProviderID,,Integer[0:6],Return FAILED when ProviderID set more than 6 digits,,,FAILED,,,,
$.ProviderIdentification.ProviderID,,Integer[0:4],Return FAILED when ProviderID set less than 6 digits,,,FAILED,,,,
$.ProviderIdentification.ProviderID,,String,Return FAILED when ProviderID set full 6 chars with both letters and digits ,,abc435,FAILED,,,,
$.ProviderIdentification.ProviderID,,String[0:5],Return FAILED when ProviderID set full 6 chars with letters ,,,FAILED,,,,
$.ProviderIdentification.ProviderID,,String[0:5],Return SUCCESS when ProviderID set full 6 chars with digits ,,,SUCCESS,,,,yes
$.AuthorizationEndDate,Yes,String,Return Failed when AuthorizationEndDate set empty OR NULL (Required for HI),,,FAILED,,,,
$.AuthorizationEndDate,,String,Return FAILED when AuthorizationEndDate set incorrect format (YYYY-MM-DD),,25-12-2020,FAILED,,,,
$.AuthorizationEndDate,,String,Return SUCCESS when AuthorizationEndDate set format (YYYY-MM-DD),,2020-12-25,SUCCESS,,,,yes
$.AssessmentDate,,String,Return SUCCESS when AssessmentDate sets empty OR NULL,,,SUCCESS,,,,yes
$.AssessmentDate,,String,Return FAILED when AssessmentDate sets incorrect format (YYYY-MM-DD),,25-12-2020,FAILED,,,,
$.AssessmentDate,,String,Return SUCCESS when AssessmentDate sets format (YYYY-MM-DD),,2020-12-25,SUCCESS,,,,yes
$.AuthorizationServiceID,Yes,String,Return FAILED when AuthorizationServiceID set empty OR NULL,,,FAILED,,,,
$.AuthorizationServiceID ,,String[0:5],Return FAILED when AuthorizationServiceID set more than 5 chars,,,FAILED,,,,
$.AuthorizationServiceID,,String[0:4],Return FAILED when AuthorizationServiceID value is not the same STX.PAYOR_DATA_VALIDATION table(length<=5),,,FAILED,,,,
$.AuthorizationServiceID,,String,Return SUCCESS when AuthorizationServiceID value is S5130,,S5130,SUCCESS,,,,yes
$.AuthorizationServiceID,,String,Return SUCCESS when AuthorizationServiceID value is S5135,,S5135,SUCCESS,,,,
$.AuthorizationServiceID,,String,Return SUCCESS when AuthorizationServiceID value is S9122,,S9122,SUCCESS,,,,
$.AuthorizationServiceID,,String,Return SUCCESS when AuthorizationServiceID value is S9123,,S9123,SUCCESS,,,,
$.AuthorizationServiceID,,String,Return SUCCESS when AuthorizationServiceID value is S9123 ,,S9123 ,SUCCESS,,,,
$.AuthorizationServiceID,,String,Return SUCCESS when AuthorizationServiceID value is S9124,,S9124,SUCCESS,,,,
$.AuthorizationServiceID,,String,Return SUCCESS when AuthorizationServiceID value is S5125,,S5125,SUCCESS,,,,
$.AuthorizationServiceID,,String,Return SUCCESS when AuthorizationServiceID value is S5150,,S5150,SUCCESS,,,,
$.AuthorizationServiceID,,String,Return SUCCESS when AuthorizationServiceID value is T1005,,T1005,SUCCESS,,,,
$.AuthorizationServiceID,,String,Return SUCCESS when AuthorizationServiceID value is G0151,,G0151,SUCCESS,,,,
$.AuthorizationServiceID,,String,Return SUCCESS when AuthorizationServiceID value is G0152,,G0152,SUCCESS,,,,
$.AuthorizationServiceID,,String,Return SUCCESS when AuthorizationServiceID value is G0153,,G0153,SUCCESS,,,,
$.AuthorizationServiceID,,String,Return SUCCESS when AuthorizationServiceID value is G0155,,G0155,SUCCESS,,,,
$.AuthorizationServiceID,,String,Return SUCCESS when AuthorizationServiceID value is G0156,,G0156,SUCCESS,,,,
$.AuthorizationServiceID,,String,Return SUCCESS when AuthorizationServiceID value is G0157,,G0157,SUCCESS,,,,
$.AuthorizationServiceID,,String,Return SUCCESS when AuthorizationServiceID value is G0158,,G0158,SUCCESS,,,,
$.AuthorizationServiceID,,String,Return SUCCESS when AuthorizationServiceID value is G0159,,G0159,SUCCESS,,,,
$.AuthorizationServiceID,,String,Return SUCCESS when AuthorizationServiceID value is G0160,,G0160,SUCCESS,,,,
$.AuthorizationServiceID,,String,Return SUCCESS when AuthorizationServiceID value is G0161,,G0161,SUCCESS,,,,
$.AuthorizationServiceID,,String,Return SUCCESS when AuthorizationServiceID value is G0299,,G0299,SUCCESS,,,,
$.AuthorizationServiceID,,String,Return SUCCESS when AuthorizationServiceID value is G0300,,G0300,SUCCESS,,,,
$.AuthorizationServiceID,,String,Return SUCCESS when AuthorizationServiceID value is G0493,,G0493,SUCCESS,,,,
$.AuthorizationServiceID,,String,Return SUCCESS when AuthorizationServiceID value is G0494,,G0494,SUCCESS,,,,
$.AuthorizationServiceID,,String,Return SUCCESS when AuthorizationServiceID value is G0495,,G0495,SUCCESS,,,,
$.AuthorizationServiceID,,String,Return SUCCESS when AuthorizationServiceID value is G0496,,G0496,SUCCESS,,,,
$.AuthorizationServiceID,,String,Return SUCCESS when AuthorizationServiceID value is S5180,,S5180,SUCCESS,,,,
$.AuthorizationServiceID,,String,Return SUCCESS when AuthorizationServiceID value is S5181,,S5181,SUCCESS,,,,
$.AuthorizationServiceID,,String,Return SUCCESS when AuthorizationServiceID value is S9128,,S9128,SUCCESS,,,,
$.AuthorizationServiceID,,String,Return SUCCESS when AuthorizationServiceID value is S9129,,S9129,SUCCESS,,,,
$.AuthorizationServiceID,,String,Return SUCCESS when AuthorizationServiceID value is S9131,,S9131,SUCCESS,,,,
$.AuthorizationServiceID,,String,Return SUCCESS when AuthorizationServiceID value is 99509,,99509,SUCCESS,,,,
$.AuthorizationServiceID,,String,Return SUCCESS when AuthorizationServiceID value is S5120,,S5120,SUCCESS,,,,
$.AuthorizationServiceID,,String,Return SUCCESS when AuthorizationServiceID value is T1000,,T1000,SUCCESS,,,,
$.AuthorizationServiceID,,String,Return SUCCESS when AuthorizationServiceID value is T1002,,T1002,SUCCESS,,,,
$.AuthorizationServiceID,,String,Return SUCCESS when AuthorizationServiceID value is T1019,,T1019,SUCCESS,,,,
$.PayerProgram,Yes,String,Return FAILED when PayerProgram sets empty OR NULL,,,FAILED,,,,
$.PayerProgram ,,String[0:9],Return FAILED when PayerProgram sets more than 9 chars,,,FAILED,,,,
$.PayerProgram,,String,Return FAILED when PayerProgram value is not the same STX.PAYOR_DATA_VALIDATION table (length<9),,AHCHCS,FAILED,,,,
$.PayerProgram,,String,Return SUCCESS when PayerProgram value is AGYP,,AGYP,SUCCESS,,,,yes
$.PayerProgram,,String,Return SUCCESS when PayerProgram value is AGYI,,AGYI,SUCCESS,,,,
$.PayerProgram,,String,Return SUCCESS when PayerProgram value is SD,,SD,SUCCESS,,,,
$.PayerProgram,,String,Return SUCCESS when PayerProgram value is CD,,CD,SUCCESS,,,,
$.Modifier1,,String,Return SUCCESS when Modifier1 sets empty OR NULL,,,SUCCESS,,,,yes
$.Modifier1,,String,Modifier1 is special chars,,$%^,FAILED,,,,
$.Modifier1,,String[0:2],Modifier1 is greater than  2 chars,,,FAILED,,,,
$.Modifier1,,String,Modifier1 is less than  2 chars,,A,FAILED,,,,
$.Modifier1,,String[0:1],Return FAILED when Modifier1 value is not the same STX.PAYOR_DATA_VALIDATION table (length=2),,,FAILED,,,,
$.Modifier1,,String,Return SUCCESS when Modifier1 value is UN,,UN,SUCCESS,,,,yes
$.Modifier1,,String,Return SUCCESS when Modifier1 value is U5,,U5,SUCCESS,,,,
$.Modifier1,,String,Return SUCCESS when Modifier1 value is UA,,UA,SUCCESS,,,,
$.Modifier1,,String,Return SUCCESS when Modifier1 value is U2,,U2,SUCCESS,,,,
$.Modifier1,,String,Return SUCCESS when Modifier1 value is U3,,U3,SUCCESS,,,,
$.Modifier1,,String,Return SUCCESS when Modifier1 value is U4,,U4,SUCCESS,,,,
$.Modifier1,,String,Return SUCCESS when Modifier1 value is TD,,TD,SUCCESS,,,,
$.Modifier1,,String,Return SUCCESS when Modifier1 value is TE,,TE,SUCCESS,,,,
$.Modifier1,,String,Return SUCCESS when Modifier1 value is U6,,U6,SUCCESS,,,,
$.Modifier1,,String,Return SUCCESS when Modifier1 value is UP,,UP,SUCCESS,,,,
$.Modifier1,,String,Return SUCCESS when Modifier1 value is U7,,U7,SUCCESS,,,,
$.Modifier1,,String,Return SUCCESS when Modifier1 value is HM,,HM,SUCCESS,,,,
$.Modifier1,,String,Return SUCCESS when Modifier1 value is U9,,U9,SUCCESS,,,,
$.Modifier1,,String,Return SUCCESS when Modifier1 value is UD,,UD,SUCCESS,,,,
$.Modifier1,,String,Return SUCCESS when Modifier1 value is U1,,U1,SUCCESS,,,,
$.Modifier1,,String,Return SUCCESS when Modifier1 value is U8,,U8,SUCCESS,,,,
$.Modifier1,,String,Return SUCCESS when Modifier1 value is 22,,22,SUCCESS,,,,
$.Modifier1,,String,Return SUCCESS when Modifier1 value is UB,,UB,SUCCESS,,,,
$.Modifier1,,String,Return SUCCESS when Modifier1 value is UC,,UC,SUCCESS,,,,
$.Modifier1,,String,Return SUCCESS when Modifier1 value is 51,,51,SUCCESS,,,,
$.Modifier2,,String,Return SUCCESS when Modifier2 sets empty OR NULL,,,SUCCESS,,,,yes
$.Modifier2,,String,Modifier2 is special chars,,$%^,FAILED,,,,
$.Modifier2,,String[0:2],Modifier2 is greater than  2 chars,,,FAILED,,,,
$.Modifier2,,String,Modifier2 is less than  2 chars,,A,FAILED,,,,
$.Modifier2,,String[0:1],Return FAILED when Modifier2 value is not the same STX.PAYOR_DATA_VALIDATION table (length=2),,,FAILED,,,,
$.Modifier2,,String,Return SUCCESS when Modifier2 value is U5,,U5,SUCCESS,,,,yes
$.Modifier2,,String,Return SUCCESS when Modifier2 value is UA,,UA,SUCCESS,,,,
$.Modifier2,,String,Return SUCCESS when Modifier2 value is U2,,U2,SUCCESS,,,,
$.Modifier2,,String,Return SUCCESS when Modifier2 value is UN,,UN,SUCCESS,,,,
$.Modifier2,,String,Return SUCCESS when Modifier2 value is U4,,U4,SUCCESS,,,,
$.Modifier3,,String,Return SUCCESS when Modifier3 sets empty OR NULL,,,SUCCESS,,,,yes
$.Modifier3,,String,Modifier3 is special chars,,$%^,FAILED,,,,
$.Modifier3,,String[0:2],Modifier3 is greater than  2 chars,,,FAILED,,,,
$.Modifier3,,String,Modifier3 is less than  2 chars,,A,FAILED,,,,
$.Modifier3,,String[0:1],Return FAILED when Modifier3 value is not the same STX.PAYOR_DATA_VALIDATION table (length=2),,,FAILED,,,,
$.Modifier3,,String,Return SUCCESS when Modifier3 value is U2,,U2,SUCCESS,,,,yes
$.Modifier3,,String,Return SUCCESS when Modifier3 value is U5,,U5,SUCCESS,,,,
$.Modifier3,,String,Return SUCCESS when Modifier3 value is UA,,UA,SUCCESS,,,,
$.Modifier4,,String,Return SUCCESS when Modifier4 sets empty OR NULL,,,SUCCESS,,,,yes
$.Modifier4,,String,Modifier4 is special chars,,$%^,FAILED,,,,
$.Modifier4,,String[0:2],Modifier4 is greater than  2 chars,,,FAILED,,,,
$.Modifier4,,String,Modifier4 is less than  2 chars,,A,FAILED,,,,
$.Modifier4,,String[0:1],Modifier4 is equal 2 chars,,,FAILED,,,,
$.ClientDiagnosisCodeIsPrimary,yes,String,Return FAILED when ClientDiagnosisCodeIsPrimary sets empty OR NULL,,,FAILED,,,,yes
$.ClientDiagnosisCodeIsPrimary,,String[0:2],ClientDiagnosisCodeIsPrimary is greater than 1 chars,,,FAILED,,,,
$.ClientDiagnosisCodeIsPrimary,,String,ClientDiagnosisCodeIsPrimary is not Y or N,,R,FAILED,,,,
$.ClientDiagnosisCodeIsPrimary,,String,ClientDiagnosisCodeIsPrimary is N,,N,SUCCESS,,,,
$.ClientDiagnosisCodeIsPrimary,,String,ClientDiagnosisCodeIsPrimary is Y,,Y,SUCCESS,,,,
$.ClientDiagnosisCode,yes,String,Return FAILED when ClientDiagnosisCode sets empty OR NULL (Required for HI),,,FAILED,,,,yes
$.ClientDiagnosisCode,,String[0:8],Return FAILED when ClientDiagnosisCode sets less than 10 chars,,,FAILED,,,,
$.ClientDiagnosisCode ,,String[0:10],Return FAILED when ClientDiagnosisCode sets more than 10 chars,,,FAILED,,,,
$.ClientDiagnosisCode ,,String,Return FAILED when ClientDiagnosisCode set invalid ICD-10 format,,,FAILED,,,,
$.ClientDiagnosisCode ,,String,Return SUCCESS when ClientDiagnosisCode set valid ICD-10 format,,,SUCCESS,,,,yes
$.HFAAssessmentDate,yes,String,Return FAILED when HFAAssessmentDate sets empty OR NULL (Required for HI),,,FAILED,,,,
$.HFAAssessmentDate,,String,Return FAILED when HFAAssessmentDate sets incorrect format (YYYY-MM-DD),,25-12-2020,FAILED,,,,
$.HFAAssessmentDate,,String,Return SUCCESS when HFAAssessmentDate sets format (YYYY-MM-DD),,2020-12-25,SUCCESS,,,,yes
$.AuthorizationLimit,yes,String,Return FAILED when AuthorizationLimit sets empty OR NULL,,,FAILED,,,,
$.AuthorizationLimit ,,String[0:5],Return FAILED when AuthorizationLimit set more than 5 chars,,,FAILED,,,,
$.AuthorizationLimit,,String[0:4],Return SUCCESS when AuthorizationLimit set less than 5 chars,,,SUCCESS,,,,yes
$.DiagnosisCode,yes,String,Return FAILED when DiagnosisCode sets empty OR NULL (Required for HI),,,FAILED,,,,yes
$.DiagnosisCode,,String[0:8],Return FAILED when DiagnosisCode sets less than 10 chars,,,FAILED,,,,
$.DiagnosisCode ,,String[0:10],Return FAILED when DiagnosisCode sets more than 10 chars,,,FAILED,,,,
$.DiagnosisCode ,,String,Return FAILED when DiagnosisCode set invalid ICD-10 format,,,FAILED,,,,
$.DiagnosisCode ,,String,Return SUCCESS when DiagnosisCode set valid ICD-10 format,,,SUCCESS,,,,yes



