Name,Required,Type,Description,Precondition,Value,POST Status,Error Message in POST,GET Status,Error Message in GET,INBOX Status
$.Modifier1,,String,Modifier1 UB,,UB,SUCCESS,,,,
$.Modifier1,,String,Modifier1 UC,,UC,SUCCESS,,,,
$.Modifier1,,String,Modifier1 51,,51,SUCCESS,,,,
$.Modifier1,,String,Modifier1 incorrect AA,,AA,FAILED,,,,
$.Modifier2,,String,Modifier2 U5,,U5,SUCCESS,,,,
$.Modifier2,,String,Modifier2 UA,,UA,SUCCESS,,,,
$.Modifier2,,String,Modifier2 U2,,U2,SUCCESS,,,,
$.Modifier2,,String,Modifier2 UN,,UN,SUCCESS,,,,
$.Modifier2,,String,Modifier2 U4,,U4,SUCCESS,,,,
$.Modifier2,,String,Modifier2 incorrect AA,,AA,FAILED,,,,
$.Modifier3,,String,Modifier3 U2,,U2,SUCCESS,,,,
$.Modifier3,,String,Modifier3 UA,,UA,SUCCESS,,,,
$.Modifier3,,String,Modifier3 U5,,U5,SUCCESS,,,,
$.Modifier3,,String,Modifier3 incorrect AA,,AA,FAILED,,,,
$.Modifier4,,null,Modifier4 is empty,,,SUCCESS,,,,
$.Modifier4,,String,Modifier4 is empty,,,SUCCESS,,,,
$.Modifier4,,String,Modifier4 is incorect AA ,,AA,FAILED,,,,
$.Modifier4,,String,Modifier4 is incorect U2 ,,U2,FAILED,,,,
$.Discipline,,String,Discipline set empty,,bctdtwtedazeWsetv,SUCCESS,,,,
$.Discipline,,null,Discipline set null,,,SUCCESS,,,,
$.Discipline,,String[0:17],Discipline range 17 letters,,,FAILED,,,,
$.Service,,String[0:14],Service is max 15 letters,,,SUCCESS,,,,
$.Service,,String[0:15],Service is max 16 letters,,,FAILED,,,,
$.Service,,String,Service is max 15 letters,,,SUCCESS,,,,
$.ProcedureCode,,String,ProcedureCode S5130,,,FAILED,,,,
$.ProcedureCode,,null,ProcedureCode S5130,,,FAILED,,,,
$.ProcedureCode,,String,ProcedureCode S5130,,S5130,SUCCESS,,,,
$.ProcedureCode,,String,ProcedureCode S5135,,S5135,SUCCESS,,,,
$.ProcedureCode,,String,ProcedureCode S9122,,S9122,SUCCESS,,,,
$.ProcedureCode,,String,ProcedureCode S9123,,S9123,SUCCESS,,,,
$.ProcedureCode,,String,ProcedureCode S9124,,S9124,SUCCESS,,,,
$.ProcedureCode,,String,ProcedureCode S5125,,S5125,SUCCESS,,,,
$.ProcedureCode,,String,ProcedureCode S5150,,S5150,SUCCESS,,,,
$.ProcedureCode,,String,ProcedureCode T1005,,T1005,SUCCESS,,,,
$.ProcedureCode,,String,ProcedureCode G0151,,G0151,SUCCESS,,,,
$.ProcedureCode,,String,ProcedureCode G0152,,G0152,SUCCESS,,,,
$.ProcedureCode,,String,ProcedureCode G0153,,G0153,SUCCESS,,,,
$.ProcedureCode,,String,ProcedureCode G0155,,G0155,SUCCESS,,,,
$.ProcedureCode,,String,ProcedureCode G0156,,G0156,SUCCESS,,,,
$.ProcedureCode,,String,ProcedureCode G0157,,G0157,SUCCESS,,,,
$.ProcedureCode,,String,ProcedureCode G0158,,G0158,SUCCESS,,,,
$.ProcedureCode,,String,ProcedureCode G0159,,G0159,SUCCESS,,,,
$.ProcedureCode,,String,ProcedureCode G0160,,G0160,SUCCESS,,,,
$.ProcedureCode,,String,ProcedureCode G0161,,G0161,SUCCESS,,,,
$.ProcedureCode,,String,ProcedureCode G0299,,G0299,SUCCESS,,,,
$.ProcedureCode,,String,ProcedureCode G0300,,G0300,SUCCESS,,,,
$.ProcedureCode,,String,ProcedureCode G0493,,G0493,SUCCESS,,,,
$.ProcedureCode,,String,ProcedureCode G0494,,G0494,SUCCESS,,,,
$.ProcedureCode,,String,ProcedureCode G0495,,G0495,SUCCESS,,,,
$.ProcedureCode,,String,ProcedureCode G0496,,G0496,SUCCESS,,,,
$.ProcedureCode,,String,ProcedureCode S5180,,S5180,SUCCESS,,,,
$.ProcedureCode,,String,ProcedureCode S5181,,S5181,SUCCESS,,,,
$.ProcedureCode,,String,ProcedureCode S9128,,S9128,SUCCESS,,,,
$.ProcedureCode,,String,ProcedureCode S9129,,S9129,SUCCESS,,,,
$.ProcedureCode,,String,ProcedureCode S9131,,S9131,SUCCESS,,,,
$.ProcedureCode,,String,ProcedureCode 99509,,99509,SUCCESS,,,,
$.ProcedureCode,,String,ProcedureCode S5120,,S5120,SUCCESS,,,,
$.ProcedureCode,,String,ProcedureCode S5125,,S5125,SUCCESS,,,,
$.ProcedureCode,,String,ProcedureCode S5130,,S5150,SUCCESS,,,,
$.ProcedureCode,,String,ProcedureCode S5130,,T1000,SUCCESS,,,,
$.ProcedureCode,,String,ProcedureCode T1005,,T1005,SUCCESS,,,,
$.ProcedureCode,,String,ProcedureCode T1002,,T1002,SUCCESS,,,,
$.ProcedureCode,,String,ProcedureCode S5130,,T0000,FAILED,,,,
$.ProcedureCode,,String,ProcedureCode S5130,,T0000,FAILED,,,,
$.Weekend,,String,Weekend with correct format YYYY-MM-DDTHH:MM:SSZ ,,2020-02-02T12:12:12Z,SUCCESS,,,,
$.Weekend,,String,Weekend with correct format YYYY-MM-DDTHH:MM:SSZ ,,2020-02-30T12:12:12Z,FAILED,,,,
$.Weekend,,String,Weekend with correct format YYYY-MM-DDTHH:MM:SSZ ,,02-02-2020T12:12:12Z,FAILED,,,,
$.BillCode,,String,BillCode S5130,,S5130,SUCCESS,,,,
$.BillCode,,String,BillCode S5130,,S5135,SUCCESS,,,,
$.BillCode,,String,BillCode S5130,,S9122,SUCCESS,,,,
$.BillCode,,String,BillCode S5130,,S9123,SUCCESS,,,,
$.BillCode,,String,BillCode S5130,,S9124,SUCCESS,,,,
$.BillCode,,String,BillCode S5130,,S5125,SUCCESS,,,,
$.BillCode,,String,BillCode S5130,,S5150,SUCCESS,,,,
$.BillCode,,String,BillCode S5130,,T1005,SUCCESS,,,,
$.BillCode,,String,BillCode S5130,,G0151,SUCCESS,,,,
$.BillCode,,String,BillCode S5130,,G0152,SUCCESS,,,,
$.BillCode,,String,BillCode S5130,,G0153,SUCCESS,,,,
$.BillCode,,String,BillCode S5130,,G0155,SUCCESS,,,,
$.BillCode,,String,BillCode S5130,,G0156,SUCCESS,,,,
$.BillCode,,String,BillCode S5130,,G0157,SUCCESS,,,,
$.BillCode,,String,BillCode S5130,,G0158,SUCCESS,,,,
$.BillCode,,String,BillCode S5130,,G0159,SUCCESS,,,,
$.BillCode,,String,BillCode S5130,,G0160,SUCCESS,,,,
$.BillCode,,String,BillCode S5130,,G0161,SUCCESS,,,,
$.BillCode,,String,BillCode S5130,,G0299,SUCCESS,,,,
$.BillCode,,String,BillCode S5130,,G0300,SUCCESS,,,,
$.BillCode,,String,BillCode S5130,,G0493,SUCCESS,,,,
$.BillCode,,String,BillCode S5130,,G0494,SUCCESS,,,,
$.BillCode,,String,BillCode S5130,,G0495,SUCCESS,,,,
$.BillCode,,String,BillCode S5130,,G0496,SUCCESS,,,,
$.BillCode,,String,BillCode S5130,,S5180,SUCCESS,,,,
$.BillCode,,String,BillCode S5130,,S5181,SUCCESS,,,,
$.BillCode,,String,BillCode S5130,,S9128,SUCCESS,,,,
$.BillCode,,String,BillCode S5130,,S9129,SUCCESS,,,,
$.BillCode,,String,BillCode S5130,,S9131,SUCCESS,,,,
$.BillCode,,String,BillCode S5130,,99509,SUCCESS,,,,
$.BillCode,,String,BillCode S5130,,S5120,SUCCESS,,,,
$.BillCode,,String,BillCode S5130,,S5125,SUCCESS,,,,
$.BillCode,,String,BillCode S5130,,S5150,SUCCESS,,,,
$.BillCode,,String,BillCode S5130,,T1000,SUCCESS,,,,
$.BillCode,,String,BillCode S5130,,T1005,SUCCESS,,,,
$.BillCode,,String,BillCode S5130,,T1002,SUCCESS,,,,
$.ProcCodeQualifier,,String[0:2],ProcCodeQualifier is length 2 letters,,,FAILED,,,,
$.ProcCodeQualifier,,String,ProcCodeQualifier is ZZ,,ZZ,SUCCESS,,,,
$.VisitType,,String,VisitType is V,,V,SUCCESS,,,,
$.VisitType,,String,VisitType is empty,,,SUCCESS,,,,
$.VisitType,,null,VisitType is null,,,SUCCESS,,,,
$.VisitType,,String,VisitType is M,,,SUCCESS,,,,
$.LiveInCase,,null,LiveInCase is null,,,SUCCESS,,,,
$.LiveInCase,,String,LiveInCase is empty,,,SUCCESS,,,,
$.LiveInCase,,String,LiveInCase is N,,N,SUCCESS,,,,
$.LiveInCase,,String,LiveInCase is Y,,Y,SUCCESS,,,,
$.LiveInCase,,String,LiveInCase is M,,M,FAILED,,,,
$.ClientTimeZone,,String,ClientTimeZone is correct time zone ,,US/Alaska,SUCCESS,,,,
$.ClientTimeZone,,String,ClientTimeZone is correct time zone ,,US/Aleutian,SUCCESS,,,,
$.ClientTimeZone,,String,ClientTimeZone is correct time zone ,,US/Arizona,SUCCESS,,,,
$.ClientTimeZone,,String,ClientTimeZone is correct time zone ,,US/Central,SUCCESS,,,,
$.ClientTimeZone,,String,ClientTimeZone is correct time zone ,,US/East-Indiana,SUCCESS,,,,
$.ClientTimeZone,,String,ClientTimeZone is correct time zone ,,US/Eastern,SUCCESS,,,,
$.ClientTimeZone,,String,ClientTimeZone is correct time zone ,,US/Hawaii,SUCCESS,,,,
$.ClientTimeZone,,String,ClientTimeZone is correct time zone ,,US/Indiana-Starke,SUCCESS,,,,
$.ClientTimeZone,,String,ClientTimeZone is correct time zone ,,US/Michigan,SUCCESS,,,,
$.ClientTimeZone,,String,ClientTimeZone is correct time zone ,,US/Mountain,SUCCESS,,,,
$.ClientTimeZone,,String,ClientTimeZone is correct time zone ,,US/Pacific,SUCCESS,,,,
$.ClientTimeZone,,String,ClientTimeZone is correct time zone ,,US/Samoa,SUCCESS,,,,
$.ClientTimeZone,,String,ClientTimeZone is correct time zone ,,America/Indiana/Indianapolis,SUCCESS,,,,
$.ClientTimeZone,,String,ClientTimeZone is correct time zone ,,America/Indiana/Knox,SUCCESS,,,,
$.ClientTimeZone,,String,ClientTimeZone is correct time zone ,,America/Indiana/Marengo,SUCCESS,,,,
$.ClientTimeZone,,String,ClientTimeZone is correct time zone ,,America/Indiana/Petersburg,SUCCESS,,,,
$.ClientTimeZone,,String,ClientTimeZone is correct time zone ,,America/Indiana/Vevay,SUCCESS,,,,
$.ClientTimeZone,,String,ClientTimeZone is correct time zone ,,America/Indiana/Vincennes,SUCCESS,,,,
$.ClientTimeZone,,String,ClientTimeZone is correct time zone ,,America/Puerto_Rico,SUCCESS,,,,
$.ClientTimeZone,,String,ClientTimeZone is correct time zone ,,Canada/Atlantic,SUCCESS,,,,
$.ClientTimeZone,,String,ClientTimeZone is correct time zone ,,Canada/Central,SUCCESS,,,,
$.ClientTimeZone,,String,ClientTimeZone is correct time zone ,,Canada/East-Saskatchewan,SUCCESS,,,,
$.ClientTimeZone,,String,ClientTimeZone is correct time zone ,,Canada/Eastern,SUCCESS,,,,
$.ClientTimeZone,,String,ClientTimeZone is correct time zone ,,Canada/Mountain,SUCCESS,,,,
$.ClientTimeZone,,String,ClientTimeZone is correct time zone ,,Canada/Newfoundland,SUCCESS,,,,
$.ClientTimeZone,,String,ClientTimeZone is correct time zone ,,Canada/Pacific,SUCCESS,,,,
$.ClientTimeZone,,String,ClientTimeZone is correct time zone ,,Canada/Saskatchewan,SUCCESS,,,,
$.ClientTimeZone,,String,ClientTimeZone is correct time zone ,,Canada/Yukon,SUCCESS,,,,
$.ContingencyPlan,,String,ContingencyPlan is correct value,,CP01,SUCCESS,,,,yes
$.ContingencyPlan,,String,ContingencyPlan is correct value,,CP02,SUCCESS,,,,
$.ContingencyPlan,,String,ContingencyPlan is correct value,,CP03,SUCCESS,,,,
$.ContingencyPlan,,String,ContingencyPlan is correct value,,CP04,SUCCESS,,,,
$.ContingencyPlan,,String,ContingencyPlan is correct value,,CP05,SUCCESS,,,,
$.ContingencyPlan,,null,ContingencyPlan is null,,,SUCCESS,,,,
$.ContingencyPlan,,String,ContingencyPlan is empty,,,SUCCESS,,,,
$.Reschedule,,null,Reschedule is null,,,SUCCESS,,,,
$.Reschedule,,String,Reschedule is empty,,,SUCCESS,,,,
$.Reschedule,,String,Reschedule is invalid value,,abc,FAILED,,,,
$.Reschedule,,String,Reschedule is valid value,,yes,SUCCESS,,,,yes
