Name,Required,Type,Description,Precondition,Value,POST Status,Error Message in POST,GET Status,Error Message in GET,INBOX Status
$.ClientPayerInformation[0].PayerID,,String,PayerID is GHCEC,,GHCEC,SUCCESS,,,,
$.ClientPayerInformation[0].PayerID,,String,PayerID is GHCSCW,,GHCSCW,SUCCESS,,,,
$.ClientPayerInformation[0].PayerID,,String,PayerID is MHSHW,,MHSHW,SUCCESS,,,,
$.ClientPayerInformation[0].PayerID,,String,PayerID is MERCYCARE,,MERCYCARE,SUCCESS,,,,
$.ClientPayerInformation[0].PayerID,,String,PayerID is MOLINA,,MOLINA,SUCCESS,,,,
$.ClientPayerInformation[0].PayerID,,String,PayerID is NHP,,NHP,SUCCESS,,,,
$.ClientPayerInformation[0].PayerID,,String,PayerID is QUARTZ,,QUARTZ,SUCCESS,,,,
$.ClientPayerInformation[0].PayerID,,String,PayerID is SECURITY,,SECURITY,SUCCESS,,,,
$.ClientPayerInformation[0].PayerID,,String,PayerID is TRILOGY,,TRILOGY,SUCCESS,,,,
$.ClientPayerInformation[0].PayerID,,String,PayerID is UHCWI,,UHCWI,SUCCESS,,,,
$.ClientPayerInformation[0].PayerID,,String,PayerID is ICAREBC,,ICAREBC,SUCCESS,,,,
$.ClientPayerInformation[0].PayerID,,String,PayerID is ICARESSI,,ICARESSI,SUCCESS,,,,
$.ClientPayerInformation[0].PayerID,,String,PayerID is CAREWIPP,,CAREWIPP,SUCCESS,,,,
$.ClientPayerInformation[0].PayerID,,String,PayerID is CAREWIFC,,CAREWIFC,SUCCESS,,,,
$.ClientPayerInformation[0].PayerID,,String,PayerID is COMCAREPP,,COMCAREPP,SUCCESS,,,,
$.ClientPayerInformation[0].PayerID,,String,PayerID is COMCAREFC,,COMCAREFC,SUCCESS,,,,
$.ClientPayerInformation[0].PayerID,,String,PayerID is ICAREFC,,ICAREFC,SUCCESS,,,,
$.ClientPayerInformation[0].PayerID,,String,PayerID is INCLUSA,,INCLUSA,SUCCESS,,,,
$.ClientPayerInformation[0].PayerID,,String,PayerID is LAKECARE,,LAKECARE,SUCCESS,,,,
$.ClientPayerInformation[0].PayerID,,String,PayerID is MCFC-CW,,MCFC-CW,SUCCESS,,,,
$.ClientPayerInformation[0].PayerID,,String,PayerID is GTINDEP,,GTINDEP,SUCCESS,,,,
$.ClientPayerInformation[0].PayerID,,String,PayerID is ILIFE,,ILIFE,SUCCESS,,,,
$.ClientPayerInformation[0].PayerID,,String,PayerID is OUTREACH,,OUTREACH,SUCCESS,,,,
$.ClientPayerInformation[0].PayerID,,String,PayerID is PREMIER,,PREMIER,SUCCESS,,,,
$.ClientPayerInformation[0].PayerProgram,Yes,String,PayerProgram is required,,,FAILED,,,,
$.ClientPayerInformation[0].PayerProgram,,String[0:65],PayerProgram is greater than 64 chars,,,FAILED,,,,
$.ClientPayerInformation[0].PayerProgram,,String,PayerProgram is different FFS/WIHMO/WIMCO/WIIRISFEA,,FFFF,FAILED,,,,
$.ClientPayerInformation[0].PayerProgram,,String,PayerProgram is FFS,,FFS,SUCCESS,,,,yes
$.ClientPayerInformation[0].PayerProgram,,String,PayerProgram is WIHMO,,WIHMO,SUCCESS,,,,
$.ClientPayerInformation[0].PayerProgram,,String,PayerProgram is WIMCO,,WIMCO,SUCCESS,,,,
$.ClientPayerInformation[0].PayerProgram,,String,PayerProgram is WIIRISFEA,,WIIRISFEA,SUCCESS,,,,
$.ClientPayerInformation[0].ProcedureCode,Yes,String,ProcedureCode is required,,,FAILED,,,,
$.ClientPayerInformation[0].ProcedureCode,,String[0:6],ProcedureCode is greater than 5 chars,,,FAILED,,,,
$.ClientPayerInformation[0].ProcedureCode,,String,ProcedureCode is T1019,,T1019,SUCCESS,,,,yes
$.ClientPayerInformation[0].ProcedureCode,,String,ProcedureCode is different T1019,,T0000,FAILED,,,,
$.ClientAddress[0].ClientAddressType,Yes,String,ClientAddressType is required,,,FAILED,,,,
$.ClientAddress[0].ClientAddressType,,String[0:13],ClientAddressType is greater than 12 chars,,,FAILED,,,,
$.ClientAddress[0].ClientAddressType,,String,ClientAddressType is Other,,Other,SUCCESS,,,,yes
$.ClientAddress[0].ClientAddressType,,String,ClientAddressType is different Other,,OtherAAA,FAILED,,,,
$.ClientPhone[0].ClientPhoneType,Yes,String,ClientPhoneType is required,,,SUCCESS,,,,yes
$.ClientPhone[0].ClientPhoneType,,String[0:13],ClientPhoneType is greater than 12 chars,,,FAILED,,,,
$.ClientPhone[0].ClientPhoneType,,String,ClientPhoneType is Other,,Other,SUCCESS,,,,yes
$.ClientPhone[0].ClientPhoneType,,String,ClientPhoneType is different Other,,OtherAAA,FAILED,,,,
$.ClientMedicaidID,Yes,String,ClientMedicaidID is required,,,FAILED,,,,
$.ClientMedicaidID,,int[1:9],ClientMedicaidID is not equal value of ClientIdentifier & ClientCustomID & ClientOtherID,,,FAILED,,,,
$.ClientMedicaidID,,int[1:7],ClientMedicaidID is less than 9 digits,,,FAILED,,,,
$.ClientMedicaidID,,int[1:13],ClientMedicaidID is greater than 12 digits,,,FAILED,,,,
$.ClientIdentifier,Yes,String,ClientIdentifier is required,,,FAILED,,,,
$.ClientIdentifier,,int[1:9],ClientIdentifier is not equal value of ClientMedicaidID & ClientCustomID & ClientOtherID,,,FAILED,,,,
$.ClientIdentifier,,int[1:7],ClientIdentifier is less than 9 digits,,,FAILED,,,,
$.ClientIdentifier,,int[1:13],ClientIdentifier is greater than 12 digits,,,FAILED,,,,
$.ClientCustomID,Yes,String,ClientCustomID is required,,,FAILED,,,,
$.ClientCustomID,,int[1:9],ClientCustomID is not equal value of ClientMedicaidID & ClientIdentifier & ClientOtherID,,,FAILED,,,,
$.ClientCustomID,,int[1:7],ClientCustomID is less than 9 digits,,,FAILED,,,,
$.ClientCustomID,,int[1:13],ClientCustomID is greater than 12 digits,,,FAILED,,,,
$.ClientOtherID,Yes,String,ClientOtherID is required,,,FAILED,,,,
$.ClientOtherID,,int[1:9],ClientOtherID is not equal value of ClientMedicaidID & ClientIdentifier & ClientCustomID,,,FAILED,,,,
$.ClientOtherID,,int[1:7],ClientOtherID is less than 9 digits,,,FAILED,,,,
$.ClientOtherID,,int[1:13],ClientOtherID is greater than 12 digits,,,FAILED,,,,
$.ClientPayerInformation[0].ClientStatus,Yes,String,WithoutEffectiveDate,,,FAILED,ERROR: The ClientStatus value is incorrect. This field is required if ClientEligibilityDateBegin and ClientEligibilityDateEnd are not sent.,,,
$.ClientPayerInformation[0].ClientStatus,,String,WithoutEffectiveDate,,04,SUCCESS,,,,
$.ClientPayerInformation[0].ClientStatus,,String,WithoutEffectiveDate,,02,SUCCESS,,,,
$.ClientPayerInformation[0].ClientStatus,Yes,String,WitEffectiveDate,,,SUCCESS,,,,
$.ClientPayerInformation[0].ClientStatus,,String,WitEffectiveDate,,04,SUCCESS,,,,
