Account,Payer,Program,HCPCS,Rev Code,Mod1,Mod2,Mod3,Mod4,Description,Status,GetStatus,Error Message,isCheckedDatabase
26,AZMCC,AHCCCS,S5150,,U7,,,,,SUCCESS,SUCCESS,0,
27,AZMYC,AHCCCS,S5150,,U7,,,,,SUCCESS,SUCCESS,0,
28,AZSHC,AHCCCS,S5150,,U7,,,,,SUCCESS,SUCCESS,0,
29,AZUCP,AHCCCS,S5150,,U7,,,,,SUCCESS,SUCCESS,0,
30,AZCDMP,AHCCCS,S5150,,U7,,,,,SUCCESS,SUCCESS,0,
31,AZCCCS,AHCCCS,S5151,,U7,,,,,SUCCESS,SUCCESS,0,
32,AZDDD,AHCCCS,S5151,,U7,,,,,SUCCESS,SUCCESS,0,
33,AZACH,AHCCCS,S5151,,U7,,,,,SUCCESS,SUCCESS,0,
34,AZBUFC,AHCCCS,S5151,,U7,,,,,SUCCESS,SUCCESS,0,
35,AZCHP,AHCCCS,S5151,,U7,,,,,SUCCESS,SUCCESS,0,
36,AZMCC,AHCCCS,S5151,,U7,,,,,SUCCESS,SUCCESS,0,
37,AZMYC,AHCCCS,S5151,,U7,,,,,SUCCESS,SUCCESS,0,
38,AZSHC,AHCCCS,S5151,,U7,,,,,SUCCESS,SUCCESS,0,
39,AZUCP,AHCCCS,S5151,,U7,,,,,SUCCESS,SUCCESS,0,
40,AZCDMP,AHCCCS,S5151,,U7,,,,,SUCCESS,SUCCESS,0,
41,AZCCCS,AHCCCS,T1019,,U7,,,,,SUCCESS,SUCCESS,0,
42,AZDDD,AHCCCS,T1019,,U7,,,,,SUCCESS,SUCCESS,0,
43,AZACH,AHCCCS,T1019,,U7,,,,,SUCCESS,SUCCESS,0,
44,AZBUFC,AHCCCS,T1019,,U7,,,,,SUCCESS,SUCCESS,0,
45,AZCHP,AHCCCS,T1019,,U7,,,,,SUCCESS,SUCCESS,0,
46,AZMCC,AHCCCS,T1019,,U7,,,,,SUCCESS,SUCCESS,0,
47,AZMYC,AHCCCS,T1019,,U7,,,,,SUCCESS,SUCCESS,0,
48,AZSHC,AHCCCS,T1019,,U7,,,,,SUCCESS,SUCCESS,0,
49,AZUCP,AHCCCS,T1019,,U7,,,,,SUCCESS,SUCCESS,0,
50,AZCDMP,AHCCCS,T1019,,U7,,,,,SUCCESS,SUCCESS,0,
51,AZCCCS,AHCCCS,T2017,,U7,,,,,SUCCESS,SUCCESS,0,
52,AZDDD,AHCCCS,T2017,,U7,,,,,SUCCESS,SUCCESS,0,
53,AZACH,AHCCCS,T2017,,U7,,,,,SUCCESS,SUCCESS,0,
54,AZBUFC,AHCCCS,T2017,,U7,,,,,SUCCESS,SUCCESS,0,
55,AZCHP,AHCCCS,T2017,,U7,,,,,SUCCESS,SUCCESS,0,
56,AZMCC,AHCCCS,T2017,,U7,,,,,SUCCESS,SUCCESS,0,
57,AZMYC,AHCCCS,T2017,,U7,,,,,SUCCESS,SUCCESS,0,
58,AZSHC,AHCCCS,T2017,,U7,,,,,SUCCESS,SUCCESS,0,
59,AZUCP,AHCCCS,T2017,,U7,,,,,SUCCESS,SUCCESS,0,
60,AZCDMP,AHCCCS,T2017,,U7,,,,,SUCCESS,SUCCESS,0,
61,AZCCCS,AHCCCS,T2021,,U7,,,,,SUCCESS,SUCCESS,0,
62,AZDDD,AHCCCS,T2021,,U7,,,,,SUCCESS,SUCCESS,0,
63,AZACH,AHCCCS,T2021,,U7,,,,,SUCCESS,SUCCESS,0,
64,AZBUFC,AHCCCS,T2021,,U7,,,,,SUCCESS,SUCCESS,0,
65,AZCHP,AHCCCS,T2021,,U7,,,,,SUCCESS,SUCCESS,0,
66,AZMCC,AHCCCS,T2021,,U7,,,,,SUCCESS,SUCCESS,0,
67,AZMYC,AHCCCS,T2021,,U7,,,,,SUCCESS,SUCCESS,0,
68,AZSHC,AHCCCS,T2021,,U7,,,,,SUCCESS,SUCCESS,0,
69,AZUCP,AHCCCS,T2021,,U7,,,,,SUCCESS,SUCCESS,0,
70,AZCDMP,AHCCCS,T2021,,U7,,,,,SUCCESS,SUCCESS,0,
