Account,Payer,Program,HCPCS,RevCode,Mod1,Mod2,Mod3,Mod4,Description,Status,GetStatus,ErrorMessage,isCheckedDatabase
,PAHW,2M,S5150,,TU,,,,,SUCCESS,SUCCESS,0,
,PAHW,2M,T1005,,,,,,,SUCCESS,SUCCESS,0,
,PAHW,2M,W1792,,,,,,,SUCCESS,SUCCESS,0,
,PAHW,2M,W1792,,TU,,,,,SUCCESS,SUCCESS,0,
,PAHW,2M,W1793,,,,,,,SUCCESS,SUCCESS,0,
,PAHW,2M,W1900,,,,,,,SUCCESS,SUCCESS,0,
,PAHW,2Q,S5150,,,,,,,SUCCESS,SUCCESS,0,
,PAHW,2Q,S5150,,TU,,,,,SUCCESS,SUCCESS,0,
,PAHW,2Q,T1005,,,,,,,SUCCESS,SUCCESS,0,
,PAHW,2Q,W1792,,,,,,,SUCCESS,SUCCESS,0,
,PAHW,2Q,W1792,,TU,,,,,SUCCESS,SUCCESS,0,
,PAHW,2Q,W1793,,,,,,,SUCCESS,SUCCESS,0,
,PAHW,2Q,W1900,,,,,,,SUCCESS,SUCCESS,0,
,PAUPMC,2F,S5150,,,,,,,SUCCESS,SUCCESS,0,
,PAUPMC,2F,S5150,,TU,,,,,SUCCESS,SUCCESS,0,
,PAUPMC,2F,T1005,,,,,,,SUCCESS,SUCCESS,0,
,PAUPMC,2F,W1792,,,,,,,SUCCESS,SUCCESS,0,
,PAUPMC,2F,W1792,,TU,,,,,SUCCESS,SUCCESS,0,
,PAUPMC,2F,W1793,,,,,,,SUCCESS,SUCCESS,0,
,PAUPMC,2F,W1900,,,,,,,SUCCESS,SUCCESS,0,
,PAUPMC,2J,S5150,,,,,,,SUCCESS,SUCCESS,0,
,PAUPMC,2J,S5150,,TU,,,,,SUCCESS,SUCCESS,0,
,PAUPMC,2J,T1005,,,,,,,SUCCESS,SUCCESS,0,
,PAUPMC,2J,W1792,,,,,,,SUCCESS,SUCCESS,0,
,PAUPMC,2J,W1792,,TU,,,,,SUCCESS,SUCCESS,0,
,PAUPMC,2J,W1793,,,,,,,SUCCESS,SUCCESS,0,
,PAUPMC,2J,W1900,,,,,,,SUCCESS,SUCCESS,0,yes
,PAUPMC,2N,S5150,,,,,,,SUCCESS,SUCCESS,0,
,PAUPMC,2N,S5150,,TU,,,,,SUCCESS,SUCCESS,0,
,PAUPMC,2N,T1005,,,,,,,SUCCESS,SUCCESS,0,
,PAUPMC,2N,W1792,,,,,,,SUCCESS,SUCCESS,0,
,PAUPMC,2N,W1792,,TU,,,,,SUCCESS,SUCCESS,0,
,PAUPMC,2N,W1793,,,,,,,SUCCESS,SUCCESS,0,
,PAUPMC,2N,W1900,,,,,,,SUCCESS,SUCCESS,0,
,PAUPMC,2S,S5150,,,,,,,SUCCESS,SUCCESS,0,
,PAUPMC,2S,S5150,,TU,,,,,SUCCESS,SUCCESS,0,
,PAUPMC,2S,T1005,,,,,,,SUCCESS,SUCCESS,0,
,PAUPMC,2S,W1792,,,,,,,SUCCESS,SUCCESS,0,
,PAUPMC,2S,W1792,,TU,,,,,SUCCESS,SUCCESS,0,
,PAUPMC,2S,W1793,,,,,,,SUCCESS,SUCCESS,0,
,PAUPMC,2S,W1900,,,,,,,SUCCESS,SUCCESS,0,
,PAOLTL,OLTL,S5150,,,,,,,SUCCESS,SUCCESS,0,
,PAOLTL,OLTL,S5150,,TU,,,,,SUCCESS,SUCCESS,0,
,PAOLTL,OLTL,W1792,,,,,,,SUCCESS,SUCCESS,0,
,PAOLTL,OLTL,W1792,,TU,,,,,SUCCESS,SUCCESS,0,
,PAODP,2D,S5150,,,,,,,SUCCESS,SUCCESS,-553,
,PAACP,ODP,W1792,,U1,,,,,SUCCESS,SUCCESS,-553,
,PAODP,2Q,W1900,,,,,,,SUCCESS,SUCCESS,-553,
