Payer,Program,HCPCS,Rev Code,Mod1,Mod2,Mod3,Mod4,Description,Status,GetStatus,Error Message
PAACP,2P,W1792,,null,null,null,null,,SUCCESS,SUCCESS,
PAACP,2P,W1792,,TU,null,null,null,,SUCCESS,SUCCESS,
PAACP,2P,W1793,,null,null,null,null,,SUCCESS,SUCCESS,
PAACP,2P,W1900,,null,null,null,null,,SUCCESS,SUCCESS,
PAHW,2E,S5150,,null,null,null,null,,SUCCESS,SUCCESS,
PAHW,2E,S5150,,TU,null,null,null,,SUCCESS,SUCCESS,
PAHW,2E,T1005,,null,null,null,null,,SUCCESS,SUCCESS,
PAHW,2E,W1792,,null,null,null,null,,SUCCESS,SUCCESS,
PAHW,2E,W1792,,TU,null,null,null,,SUCCESS,SUCCESS,
PAHW,2E,W1793,,null,null,null,null,,SUCCESS,SUCCESS,
PAHW,2E,W1900,,null,null,null,null,,SUCCESS,SUCCESS,
PAHW,2H,S5150,,null,null,null,null,,SUCCESS,SUCCESS,
PAHW,2H,S5150,,TU,null,null,null,,SUCCESS,SUCCESS,
PAHW,2H,T1005,,null,null,null,null,,SUCCESS,SUCCESS,
PAHW,2H,W1792,,null,null,null,null,,SUCCESS,SUCCESS,
PAHW,2H,W1792,,TU,null,null,null,,SUCCESS,SUCCESS,
PAHW,2H,W1793,,null,null,null,null,,SUCCESS,SUCCESS,
PAHW,2H,W1900,,null,null,null,null,,SUCCESS,SUCCESS,
PAHW,2M,S5150,,null,null,null,null,,SUCCESS,SUCCESS,
PAHW,2M,S5150,,TU,null,null,null,,SUCCESS,SUCCESS,
PAHW,2M,T1005,,null,null,null,null,,SUCCESS,SUCCESS,
PAHW,2M,W1792,,null,null,null,null,,SUCCESS,SUCCESS,
PAHW,2M,W1792,,TU,null,null,null,,SUCCESS,SUCCESS,
PAHW,2M,W1793,,null,null,null,null,,SUCCESS,SUCCESS,
PAHW,2M,W1900,,null,null,null,null,,SUCCESS,SUCCESS,
PAHW,2Q,S5150,,null,null,null,null,,SUCCESS,SUCCESS,
PAHW,2Q,S5150,,TU,null,null,null,,SUCCESS,SUCCESS,
PAHW,2Q,T1005,,null,null,null,null,,SUCCESS,SUCCESS,
PAHW,2Q,W1792,,null,null,null,null,,SUCCESS,SUCCESS,
PAHW,2Q,W1792,,TU,null,null,null,,SUCCESS,SUCCESS,
PAHW,2Q,W1793,,null,null,null,null,,SUCCESS,SUCCESS,
PAHW,2Q,W1900,,null,null,null,null,,SUCCESS,SUCCESS,
PAUPMC,2F,S5150,,null,null,null,null,,SUCCESS,SUCCESS,
PAUPMC,2F,S5150,,TU,null,null,null,,SUCCESS,SUCCESS,
PAUPMC,2F,T1005,,null,null,null,null,,SUCCESS,SUCCESS,
PAUPMC,2F,W1792,,null,null,null,null,,SUCCESS,SUCCESS,
PAUPMC,2F,W1792,,TU,null,null,null,,SUCCESS,SUCCESS,
PAUPMC,2F,W1793,,null,null,null,null,,SUCCESS,SUCCESS,
PAUPMC,2F,W1900,,null,null,null,null,,SUCCESS,SUCCESS,
PAUPMC,2J,S5150,,null,null,null,null,,SUCCESS,SUCCESS,
PAUPMC,2J,S5150,,TU,null,null,null,,SUCCESS,SUCCESS,
PAUPMC,2J,T1005,,null,null,null,null,,SUCCESS,SUCCESS,
PAUPMC,2J,W1792,,null,null,null,null,,SUCCESS,SUCCESS,
PAUPMC,2J,W1792,,TU,null,null,null,,SUCCESS,SUCCESS,
PAUPMC,2J,W1793,,null,null,null,null,,SUCCESS,SUCCESS,
PAUPMC,2J,W1900,,null,null,null,null,,SUCCESS,SUCCESS,
PAUPMC,2N,S5150,,null,null,null,null,,SUCCESS,SUCCESS,
PAUPMC,2N,S5150,,TU,null,null,null,,SUCCESS,SUCCESS,
PAUPMC,2N,T1005,,null,null,null,null,,SUCCESS,SUCCESS,
PAUPMC,2N,W1792,,null,null,null,null,,SUCCESS,SUCCESS,
PAUPMC,2N,W1792,,TU,null,null,null,,SUCCESS,SUCCESS,
PAUPMC,2N,W1793,,null,null,null,null,,SUCCESS,SUCCESS,
PAUPMC,2N,W1900,,null,null,null,null,,SUCCESS,SUCCESS,
PAUPMC,2S,S5150,,null,null,null,null,,SUCCESS,SUCCESS,
PAUPMC,2S,S5150,,TU,null,null,null,,SUCCESS,SUCCESS,
PAUPMC,2S,T1005,,null,null,null,null,,SUCCESS,SUCCESS,
PAUPMC,2S,W1792,,null,null,null,null,,SUCCESS,SUCCESS,
PAUPMC,2S,W1792,,TU,null,null,null,,SUCCESS,SUCCESS,
PAUPMC,2S,W1793,,null,null,null,null,,SUCCESS,SUCCESS,
PAUPMC,2S,W1900,,null,null,null,null,,SUCCESS,SUCCESS,
PAOLTL,OLTL,S5150,,null,null,null,null,,SUCCESS,SUCCESS,
PAOLTL,OLTL,S5150,,TU,null,null,null,,SUCCESS,SUCCESS,
PAOLTL,OLTL,W1792,,null,null,null,null,,SUCCESS,SUCCESS,
PAOLTL,OLTL,W1792,,TU,null,null,null,,SUCCESS,SUCCESS,
PAODP,2D,S5150,,null,null,null,null,,SUCCESS,FAILED,-553
PAACP,ODP,W1792,,U1,null,null,null,,SUCCESS,FAILED,-553
PAODP,2Q,W1900,,null,null,null,null,,SUCCESS,FAILED,-553
PAOLTL,OLTL,S5150,,null,TU,null,null,,SUCCESS,FAILED,-553
PAOLTL,OLTL,W1792,,TU,TU,TU,TU,,SUCCESS,FAILED,-553
