Name,Required,Type,Description,Exclude,Value,POST Status,Error Message in POST,GET Status,Error Message in GET,INBOX Status
$.ClientIdentifier ,,String,Return FAILED when ClientIdentifier starts w/ 1 UC letter [a-z] and followed by 8 digits [0-9],,a12345678,FAILED,,,,
$.ClientIdentifier ,,String,Return FAILED when ClientIdentifier starts w/ 1 UC letter [A-Z] and followed by 8 digits [0-9] (not MedicaidID),,SandataID,FAILED,,,,
$.ClientIdentifier ,,String,ClientIdentifier is MedicaidID,,MedicaidID,SUCCESS,,,,yes
$.ProviderIdentification.ProviderQualifier,Yes,String,Return FAILED when ProviderQualifier sets empty OR NULL,,,FAILED,,,,
$.ProviderIdentification.ProviderQualifier,,String[0:30],Return FAILED when ProviderQualifier sets more than 30 chars,,,FAILED,,,,
$.ProviderIdentification.ProviderQualifier,,String[0:10],Return FAILED when ProviderQualifier sets less than 30 chars (not MedicaidID),,SandataID,FAILED,,,,
$.ProviderIdentification.ProviderQualifier,,String,ProviderQualifier is MedicaidID,,MedicaidID,SUCCESS,,,,yes
$.ProviderIdentification.ProviderID,Yes,String,Return FAILED when ProviderID sets empty OR NULL,,,FAILED,,,,
$.ProviderIdentification.ProviderID,,String[0:64],Return FAILED when ProviderID sets more than 64 chars,,,FAILED,,,,
$.ProviderIdentification.ProviderID,,String[0:6],Return FAILED when ProviderID sets more than 6 chars,,,FAILED,,,,
$.ProviderIdentification.ProviderID,,String[0:4],Return FAILED when ProviderID sets less than 6 chars,,,FAILED,,,,
$.ProviderIdentification.ProviderID,,String[0:5],Return SUCCESS when ProviderID sets equal 6 chars ,,,SUCCESS,,,,yes
$.AuthorizationEndDate,Yes,String,Return Failed when AuthorizationEndDate set empty OR NULL (Required for AZ),,,FAILED,,,,
$.AuthorizationEndDate,,String,Return FAILED when AuthorizationEndDate set incorrect format (YYYY-MM-DD),,25-12-2020,FAILED,,,,
$.AuthorizationEndDate,,String,Return SUCCESS when AuthorizationEndDate set format (YYYY-MM-DD),,2020-12-25,SUCCESS,,,,yes
$.AuthorizationServiceID,Yes,String,Return FAILED when AuthorizationServiceID set empty OR NULL,,,FAILED,,,,
$.AuthorizationServiceID ,,String[0:5],Return FAILED when AuthorizationServiceID set more than 5 chars,,,FAILED,,,,
$.AuthorizationServiceID,,String[0:4],Return FAILED when AuthorizationServiceID value is not the same STX.PAYOR_DATA_VALIDATION table (length<5),,,FAILED,,,,
$.AuthorizationServiceID,,String,Return SUCCESS when AuthorizationServiceID value is G0299,,G0299,SUCCESS,,,,yes
$.AuthorizationServiceID,,String,Return SUCCESS when AuthorizationServiceID value is G0300,,G0300,SUCCESS,,,,
$.AuthorizationServiceID,,String,Return SUCCESS when AuthorizationServiceID value is H2014,,H2014,SUCCESS,,,,
$.AuthorizationServiceID,,String,Return SUCCESS when AuthorizationServiceID value is S5125,,S5125,SUCCESS,,,,
$.AuthorizationServiceID,,String,Return SUCCESS when AuthorizationServiceID value is S5130,,S5130,SUCCESS,,,,
$.AuthorizationServiceID,,String,Return SUCCESS when AuthorizationServiceID value is S5150,,S5150,SUCCESS,,,,
$.AuthorizationServiceID,,String,Return SUCCESS when AuthorizationServiceID value is S5151,,S5151,SUCCESS,,,,
$.AuthorizationServiceID,,String,Return SUCCESS when AuthorizationServiceID value is S9123,,S9123,SUCCESS,,,,
$.AuthorizationServiceID,,String,Return SUCCESS when AuthorizationServiceID value is S9124,,S9124,SUCCESS,,,,
$.AuthorizationServiceID,,String,Return SUCCESS when AuthorizationServiceID value is T1019,,T1019,SUCCESS,,,,
$.AuthorizationServiceID,,String,Return SUCCESS when AuthorizationServiceID value is T2017,,T2017,SUCCESS,,,,
$.AuthorizationServiceID,,String,Return SUCCESS when AuthorizationServiceID value is T2021,,T2021,SUCCESS,,,,
$.PayerProgram,Yes,String,Return FAILED when PayerProgram set empty OR NULL,,,FAILED,,,,
$.PayerProgram ,,String[0:9],Return FAILED when PayerProgram set more than 9 chars,,,FAILED,,,,
$.PayerProgram,,String,Return FAILED when PayerProgram value is not the same STX.PAYOR_DATA_VALIDATION table (length<9),,AHCHCS,FAILED,,,,
$.PayerProgram,,String,Return SUCCESS when PayerProgram value is AHCCCS,,AHCCCS,SUCCESS,,,,yes
$.Modifier1,,String,Return SUCCESS when Modifier1 set empty OR NULL,,,SUCCESS,,,,yes
$.Modifier1,,String,Modifier1 is special chars,,$%^,FAILED,,,,
$.Modifier1,,String[0:2],Modifier1 is greater than  2 chars,,,FAILED,,,,
$.Modifier1,,String,Modifier1 is less than  2 chars,,A,FAILED,,,,
$.Modifier1,,String[0:1],Return FAILED when Modifier1 value is not the same STX.PAYOR_DATA_VALIDATION table (length=2),,,FAILED,,,,
$.Modifier1,,String,Return SUCCESS when Modifier1 value is UN,,UN,SUCCESS,,,,yes
$.Modifier1,,String,Return SUCCESS when Modifier1 value is UP,,UP,SUCCESS,,,,
$.Modifier1,,String,Return SUCCESS when Modifier1 value is GT,,GT,SUCCESS,,,,
$.Modifier1,,String,Return SUCCESS when Modifier1 value is HQ,,HQ,SUCCESS,,,,
$.Modifier1,,String,Return SUCCESS when Modifier1 value is H9,,H9,SUCCESS,,,,
$.Modifier1,,String,Return SUCCESS when Modifier1 value is U2,,U2,SUCCESS,,,,
$.Modifier1,,String,Return SUCCESS when Modifier1 value is U3,,U3,SUCCESS,,,,
$.Modifier1,,String,Return SUCCESS when Modifier1 value is U4,,U4,SUCCESS,,,,
$.Modifier1,,String,Return SUCCESS when Modifier1 value is U5,,U5,SUCCESS,,,,
$.Modifier1,,String,Return SUCCESS when Modifier1 value is U6,,U6,SUCCESS,,,,
$.Modifier1,,String,Return SUCCESS when Modifier1 value is UQ,,UQ,SUCCESS,,,,
$.Modifier1,,String,Return SUCCESS when Modifier1 value is US,,US,SUCCESS,,,,
$.Modifier1,,String,Return SUCCESS when Modifier1 value is UR,,UR,SUCCESS,,,,
$.Modifier2,,String,Return SUCCESS when Modifier2 set empty OR NULL,,,SUCCESS,,,,yes
$.Modifier2,,String,Modifier2 is special chars,,$%^,FAILED,,,,
$.Modifier2,,String[0:2],Modifier2 is greater than  2 chars,,,FAILED,,,,
$.Modifier2,,String,Modifier2 is less than  2 chars,,A,FAILED,,,,
$.Modifier2,,String[0:1],Return FAILED when Modifier2 value is not the same STX.PAYOR_DATA_VALIDATION table (length=2),,,FAILED,,,,
$.Modifier2,,String,Return SUCCESS when Modifier2 value is HQ,,HQ,SUCCESS,,,,
$.Modifier2,,String,Return SUCCESS when Modifier2 value is H9,,H9,SUCCESS,,,,
$.Modifier3,,String,Return SUCCESS when Modifier3 set empty OR NULL,,,SUCCESS,,,,yes
$.Modifier3,,String,Modifier3 is special chars,,$%^,FAILED,,,,
$.Modifier3,,String[0:2],Modifier3 is greater than  2 chars,,,FAILED,,,,
$.Modifier3,,String,Modifier3 is less than  2 chars,,A,FAILED,,,,
$.Modifier3,,String[0:1],Return FAILED when Modifier3 value is not the same STX.PAYOR_DATA_VALIDATION table (length=2),,,FAILED,,,,
$.Modifier3,,String,Return SUCCESS when Modifier3 value is H9,,H9,SUCCESS,,,,yes
$.Modifier4,,String,Return SUCCESS when Modifier4 set empty OR NULL,,,SUCCESS,,,,yes
$.Modifier4,,String,Modifier4 is special chars,,$%^,FAILED,,,,
$.Modifier4,,String[0:2],Modifier4 is greater than  2 chars,,,FAILED,,,,
$.Modifier4,,String,Modifier4 is less than  2 chars,,A,FAILED,,,,
$.Modifier4,,String[0:1],Modifier4 is equal 2 chars,,,FAILED,,,,
$.AssessmentDate,,String,Return SUCCESS when AssessmentDate sets empty OR NULL,,,SUCCESS,,,,yes
$.AssessmentDate,,String,Return FAILED when AssessmentDate sets incorrect format (YYYY-MM-DD),,25-12-2020,FAILED,,,,
$.AssessmentDate,,String,Return SUCCESS when AssessmentDate sets format (YYYY-MM-DD),,2020-12-25,SUCCESS,,,,yes
