Name,Required,Type,Description,Precondition,Value,POST Status,Error Message in POST,GET Status,Error Message in GET,INBOX Status
$.EmployeeZipCode,,int[0:8],EmployeeZipCode in range 9,,,SUCCESS,,,,
$.EmployeePhone,,String,EmployeePhone set empty,,,SUCCESS,,,,
$.EmployeePhone,,null,EmployeePhone set null,,,SUCCESS,,,,
$.EmployeePhone,,String[0:9],EmployeePhone range 9 letters,,,FAILED,,,,
$.EmployeePhone,,String,EmployeePhone in range 9,,EmployeePh,FAILED,,,,
$.EmployeePhone,,int[0:9],EmployeePhone in range 9,,,SUCCESS,,,,
$.EmployeeAltPhone,,String,EmployeeAltPhone set empty,,,SUCCESS,,,,
$.EmployeeAltPhone,,null,EmployeeAltPhone set null,,,SUCCESS,,,,
$.EmployeeAltPhone,,int[0:9],EmployeeAltPhone range 9 letters,,,SUCCESS,,,,
$.EmployeeAltPhone,,String,EmployeeAltPhone in range 9,,EmployeeAl,FAILED,,,,
$.EmployeeAltPhone2,,String,EmployeeAltPhone2 set empty,,,SUCCESS,,,,
$.EmployeeAltPhone2,,null,EmployeeAltPhone2 set null,,,SUCCESS,,,,
$.EmployeeAltPhone2,,int[0:9],EmployeeAltPhone2 range 9 letters,,,SUCCESS,,,,
$.EmployeeAltPhone2,,String,EmployeeAltPhone2 in range 9,,EmployeeAl,FAILED,,,,
$.EmployeeHireDate,,Date,EmployeeHireDate is different format,,1/31/2019,FAILED,,,,
$.EmployeeHireDate,,Date,EmployeeHireDate is different format,,20190131,FAILED,,,,
$.EmployeeHireDate,,Date,EmployeeHireDate is different format,,1/31/2001,FAILED,,,,
$.EmployeeHireDate,,String,EmployeeHireDate is empty,,,SUCCESS,,,,Yes
$.EmployeeHireDate,,null,EmployeeHireDate is null,,,SUCCESS,,,,Yes
$.EmployeeEndDate,,Date,EmployeeEndDate is different format,,1/31/2019,FAILED,,,,
$.EmployeeEndDate,,Date,EmployeeEndDate is different format,,20190131,FAILED,,,,
$.EmployeeEndDate,,Date,EmployeeEndDate is different format,,1/31/2001,FAILED,,,,
$.EmployeeEndDate,,String,EmployeeEndDate is empty,,,SUCCESS,,,,Yes
$.EmployeeEndDate,,null,EmployeeEndDate is null,,,SUCCESS,,,,Yes
$.EmployeeBirthDate,,Date,EmployeeBirthDate is different format,,1/31/2019,FAILED,,,,
$.EmployeeBirthDate,,Date,EmployeeBirthDate is different format,,20190131,FAILED,,,,
$.EmployeeBirthDate,,Date,EmployeeBirthDate is different format,,1/31/2001,FAILED,,,,
$.EmployeeBirthDate,,String,EmployeeBirthDate is empty,,,SUCCESS,,,,Yes
$.EmployeeBirthDate,,null,EmployeeBirthDate is null,,,SUCCESS,,,,Yes
$.EmployeeGender,,String[0:1],EmployeeGender is greater than 1 char,,,FAILED,,,,
$.EmployeeGender,,String,EmployeeGender is O,,O,SUCCESS,,,,
$.EmployeeGender,,String,EmployeeGender is o,,o,FAILED,,,,
$.EmployeeGender,,String,EmployeeGender is 1,,1,FAILED,,,,
$.EmployeeGender,,String,EmployeeGender is OM,,OM,FAILED,,,,
$.EmployeeGender,,String,EmployeeGender is M,,M,SUCCESS,,,,
$.EmployeeGender,,String,EmployeeGender is F,,F,SUCCESS,,,,
$.EmployeePrimaryLocation,,String,EmployeePrimaryLocation set empty,,,SUCCESS,,,,
$.EmployeePrimaryLocation,,null,EmployeePrimaryLocation set null,,,SUCCESS,,,,
$.EmployeePrimaryLocation,,String[0:15],EmployeePrimaryLocation range 15 letters,,,FAILED,,,,
$.EmployeePrimaryLocation,,String,EmployeePrimaryLocation in range 15,,EmployeePrimary,SUCCESS,,,,
$.EmployeePrimaryLocation,,String,EmployeePrimaryLocation in range 16,,EmployeePrimaryt,FAILED,,,,
$.Status,,null,Status set null,,,SUCCESS,,,,
$.Status,,String,Status set null,,D,SUCCESS,,,,
$.Status,,String[0:1],Status set 1 length,,,FAILED,,,,
$.Status,,String,Status set F,,F,FAILED,,,,
