Name,Required,Type,Description,Precondition,Value,POST Status,Error Message in POST,GET Status,Error Message in GET,INBOX Status
$.LiveInCase,,String,LiveInCase is Y,,YY,FAILED,,,,
$.ClientTimeZone,,String,ClientTimeZone is correct time zone ,,US/Alaska,SUCCESS,,,,
$.ClientTimeZone,,String[0:64],ClientTimeZone set max length ,,,FAILED,,,,
$.OTABHours,,null,OTABHours is null,,,SUCCESS,,,,
$.OTABHours,,int[0:4],OTABHours set max length,,,FAILED,,,,
$.OTABCode,,null,OTABCode is null,,,SUCCESS,,,,
$.OTABCode,,String[0:2],OTABCode set max length,,,FAILED,,,,
$.OTABApprover,,null,OTABApprover is null,,,SUCCESS,,,,
$.OTABApprover,,String[0:3],OTABApprover set max length,,,FAILED,,,,
$.CaseNumber,,null,CaseNumber is null,,,SUCCESS,,,,
$.CaseNumber,,String[0:9],CaseNumber set max length,,,FAILED,,,,
$.CaseSequence,,null,CaseSequence is null,,,SUCCESS,,,,
$.CaseSequence,,String[0:4],CaseSequence set max length,,,FAILED,,,,
