Account,Payer,Program,HCPCS,Rev Code,Mod1,Mod2,Mod3,Mod4,Description,Status,GetStatus,ErrorMessage,isCheckedDatabase
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,AGYP,T1005,,TE,U5,,,RESPITE LPN SR,SUCCESS,SUCCESS,0,
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,AGYP,T1005,,TE,UA,,,RESPITE LPN AR,SUCCESS,SUCCESS,0,
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,AGYP,T1005,,TE,UN,U5,,RESPITE LPN CPL SR,SUCCESS,SUCCESS,0,yes
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,AGYP,T1005,,TE,UN,UA,,RESPITE LPN CPL AR,SUCCESS,SUCCESS,0,
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,AGYI,G0151,,U6,,,,HH PT,SUCCESS,SUCCESS,0,
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,AGYI,G0152,,U6,,,,HH OT ,SUCCESS,SUCCESS,0,
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,AGYI,G0153,,U6,,,,HH SLP,SUCCESS,SUCCESS,0,
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,AGYI,G0155,,U6,,,,HH SW,SUCCESS,SUCCESS,0,
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,AGYI,G0156,,U6,,,,HHA,SUCCESS,SUCCESS,0,
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,AGYI,G0157,,U6,,,,HH PT ASSISTANT,SUCCESS,SUCCESS,0,
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,AGYI,G0158,,U6,,,,HH OT ASSISTANT,SUCCESS,SUCCESS,0,
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,AGYI,G0159,,U6,,,,HH PT MAINT PRG,SUCCESS,SUCCESS,0,
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,AGYI,G0160,,U6,,,,HH OT MAINT PRG,SUCCESS,SUCCESS,0,
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,AGYI,G0161,,U6,,,,HH SLP MAINT PRG,SUCCESS,SUCCESS,0,
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,AGYI,G0299,,U6,,,,HH RN,SUCCESS,SUCCESS,0,
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,AGYI,G0300,,U6,,,,HH LPN,SUCCESS,SUCCESS,0,
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,AGYI,G0493,,U6,,,,HH RN OBS/ASSESS,SUCCESS,SUCCESS,0,
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,AGYI,G0494,,U6,,,,HH LPN OBS/ASSESS,SUCCESS,SUCCESS,0,
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,AGYI,G0495,,U6,,,,HH RN TRAIN/EDU,SUCCESS,SUCCESS,0,
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,AGYI,G0496,,U6,,,,HH LPN TRAIN/EDU ,SUCCESS,SUCCESS,0,
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,AGYI,S5180,,U6,,,,HH RT IN EVAL,SUCCESS,SUCCESS,0,
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,AGYI,S5181,,U6,,,,HH RT ,SUCCESS,SUCCESS,0,
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,AGYI,S9128,,U6,,,,ST IN THE HOME,SUCCESS,SUCCESS,0,
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,AGYI,S9129,,U6,,,,OT IN THE HOME,SUCCESS,SUCCESS,0,
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,AGYI,S9131,,U6,,,,PT IN THE HOME,SUCCESS,SUCCESS,0,
,HI_DDD,AGYP,99509,,U6,,,,,SUCCESS,SUCCESS,0,
,HI_DDD,AGYP,99509,,UN,,,,,SUCCESS,SUCCESS,0,
,HI_DDD,AGYP,99509,,UP,,,,,SUCCESS,SUCCESS,0,
,HI_DDD,AGYP,99509,,U7,,,,,SUCCESS,SUCCESS,0,
,HI_DDD,AGYP,99509,,U4,,,,,SUCCESS,SUCCESS,0,
,HI_DDD,AGYP,99509,,HM,,,,,SUCCESS,SUCCESS,0,
,HI_DDD,AGYP,99509,,U9,,,,,SUCCESS,SUCCESS,0,
,HI_DDD,AGYP,99509,,UD,,,,,SUCCESS,SUCCESS,0,
,HI_DDD,AGYP,S5120,,U2,,,,,SUCCESS,SUCCESS,0,
,HI_DDD,AGYP,S5120,,U1,,,,,SUCCESS,SUCCESS,0,
,HI_DDD,AGYP,S5125,,U6,,,,,SUCCESS,SUCCESS,0,
,HI_DDD,AGYP,S5125,,UN,,,,,SUCCESS,SUCCESS,0,
,HI_DDD,AGYP,S5125,,UP,,,,,SUCCESS,SUCCESS,0,
,HI_DDD,AGYP,S5125,,U7,,,,,SUCCESS,SUCCESS,0,
,HI_DDD,AGYP,S5125,,U4,,,,,SUCCESS,SUCCESS,0,
,HI_DDD,AGYP,S5125,,HM,,,,,SUCCESS,SUCCESS,0,
,HI_DDD,AGYP,S5125,,U9,,,,,SUCCESS,SUCCESS,0,
,HI_DDD,AGYP,S5125,,UD,,,,,SUCCESS,SUCCESS,0,
,HI_DDD,AGYP,S5150,,,,,,,SUCCESS,SUCCESS,0,
,HI_DDD,AGYP,S5150,,UN,,,,,SUCCESS,SUCCESS,0,
,HI_DDD,AGYP,S5150,,UP,,,,,SUCCESS,SUCCESS,0,
,HI_DDD,AGYP,T1000,,U5,,,,,SUCCESS,SUCCESS,0,
,HI_DDD,AGYP,T1000,,U1,,,,,SUCCESS,SUCCESS,0,
,HI_DDD,AGYP,T1000,,U6,,,,,SUCCESS,SUCCESS,0,
,HI_DDD,AGYP,T1000,,U2,,,,,SUCCESS,SUCCESS,0,
,HI_DDD,AGYP,T1000,,U7,,,,,SUCCESS,SUCCESS,0,
,HI_DDD,AGYP,T1000,,U3,,,,,SUCCESS,SUCCESS,0,
,HI_DDD,AGYP,T1000,,U8,,,,,SUCCESS,SUCCESS,0,
,HI_DDD,AGYP,T1000,,U4,,,,,SUCCESS,SUCCESS,0,
,HI_DDD,AGYP,T1002,,22,,,,,SUCCESS,SUCCESS,0,
,HI_DDD,AGYP,T1002,,U8,,,,,SUCCESS,SUCCESS,0,yes
,HI_DDD,AGYP,T1002,,U2,,,,,SUCCESS,SUCCESS,0,
,HI_DDD,AGYP,T1002,,U9,,,,,SUCCESS,SUCCESS,0,
,HI_DDD,AGYP,T1002,,U3,,,,,SUCCESS,SUCCESS,0,
,HI_DDD,AGYP,T1002,,UA,,,,,SUCCESS,SUCCESS,0,
,HI_DDD,AGYP,T1002,,U4,,,,,SUCCESS,SUCCESS,0,
,HI_DDD,AGYP,T1002,,UB,,,,,SUCCESS,SUCCESS,0,
,HI_DDD,AGYP,T1002,,U5,,,,,SUCCESS,SUCCESS,0,
,HI_DDD,AGYP,T1002,,UC,,,,,SUCCESS,SUCCESS,0,
,HI_DDD,AGYP,T1002,,U6,,,,,SUCCESS,SUCCESS,0,
,HI_DDD,AGYP,T1002,,UD,,,,,SUCCESS,SUCCESS,0,
,HI_DDD,AGYP,T1002,,U7,,,,,SUCCESS,SUCCESS,0,
,HI_DDD,AGYP,T1005,,U1,,,,,SUCCESS,SUCCESS,0,
,HI_DDD,AGYP,T1005,,UN,,,,,SUCCESS,SUCCESS,0,
,HI_DDD,AGYP,T1005,,UP,,,,,SUCCESS,SUCCESS,0,
,HI_DDD,AGYP,T1019,,U6,,,,,SUCCESS,SUCCESS,0,
,HI_DDD,AGYP,T1019,,U7,,,,,SUCCESS,SUCCESS,0,
,HI_DDD,AGYP,T1019,,U8,,,,,SUCCESS,SUCCESS,0,
,HI_DDD,AGYP,T1019,,U9,,,,,SUCCESS,SUCCESS,0,
,HI_DDD,AGYP,T1019,,UA,,,,,SUCCESS,SUCCESS,0,
,HI_DDD,AGYP,T1019,,UB,,,,,SUCCESS,SUCCESS,0,
,HI_DDD,AGYP,T1019,,UC,,,,,SUCCESS,SUCCESS,0,
,HI_DDD,AGYP,T1019,,UD,,,,,SUCCESS,SUCCESS,0,
,HI_DDD,AGYP,T1019,,U2,,,,,SUCCESS,SUCCESS,0,
,HI_DDD,AGYP,T1019,,U3,,,,,SUCCESS,SUCCESS,0,
,HI_DDD,AGYP,T1019,,U4,,,,,SUCCESS,SUCCESS,0,
,HI_DDD,AGYP,T1019,,U5,,,,,SUCCESS,SUCCESS,0,
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,SD,S5130,,U1,,,,,SUCCESS,SUCCESS,0,
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,SD,S5135,,U1,,,,,SUCCESS,SUCCESS,0,
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,SD,S9122,,U1,U2,,,,SUCCESS,SUCCESS,0,
,HI_AC|HI_KP|HI_HMSA|HI_OHANA|HI_UHC,SD,S9122,,U1,U4,U2,,,SUCCESS,SUCCESS,0,
,HI_DDD,CD,99509,,U1,,,,,SUCCESS,SUCCESS,0,
,HI_DDD,CD,99509,,51,,,,,SUCCESS,SUCCESS,0,
,HI_DDD,CD,S5120,,U4,,,,,SUCCESS,SUCCESS,0,
,HI_DDD,CD,S5120,,U3,,,,,SUCCESS,SUCCESS,0,
,HI_DDD,CD,S5125,,U1,,,,,SUCCESS,SUCCESS,0,
,HI_DDD,CD,S5125,,51,,,,,SUCCESS,SUCCESS,0,
,HI_DDD,CD,S5150,,UA,,,,,SUCCESS,SUCCESS,0,
,HI_DDD,CD,S5150,,UB,,,,,SUCCESS,SUCCESS,0,
,HI_DDD,CD,T1005,,UA,,,,,SUCCESS,SUCCESS,0,
,HI_DDD,CD,T1005,,UB,,,,,SUCCESS,SUCCESS,0,yes
