Name,Require,Type,Description,Precondition,Value,POST Status,Error Message in POST,GET Status,Error Message in GET,INBOX Status
$.ClientTimeZone,,String,ClientTimeZone is America/Indiana/Vevay,,America/Indiana/Vevay,SUCCESS,,,,
$.ClientTimeZone,,String,ClientTimeZone is America/Indiana/Vincennes,,America/Indiana/Vincennes,SUCCESS,,,,
$.ClientTimeZone,,String,ClientTimeZone is America/Puerto_Rico,,America/Puerto_Rico,SUCCESS,,,,
$.ClientTimeZone,,String,ClientTimeZone is Canada/Atlantic,,Canada/Atlantic,SUCCESS,,,,
$.ClientTimeZone,,String,ClientTimeZone is Canada/Central,,Canada/Central,SUCCESS,,,,
$.ClientTimeZone,,String,ClientTimeZone is Canada/East-Saskatchewan,,Canada/East-Saskatchewan,SUCCESS,,,,
$.ClientTimeZone,,String,ClientTimeZone is Canada/Eastern,,Canada/Eastern,SUCCESS,,,,
$.ClientTimeZone,,String,ClientTimeZone is Canada/Mountain,,Canada/Mountain,SUCCESS,,,,
$.ClientTimeZone,,String,ClientTimeZone is Canada/Newfoundland,,Canada/Newfoundland,SUCCESS,,,,
$.ClientTimeZone,,String,ClientTimeZone is Canada/Pacific,,Canada/Pacific,SUCCESS,,,,
$.ClientTimeZone,,String,ClientTimeZone is Canada/Saskatchewan,,Canada/Saskatchewan,SUCCESS,,,,
$.ClientTimeZone,,String,ClientTimeZone is Canada/Yukon,,Canada/Yukon,SUCCESS,,,,
$.ClientTimeZone,,String,ClientTimeZone is invalid,,US,FAILED,,,,
$.ContingencyPlan,,String,ContingencyPlan is CP01,,CP01,SUCCESS,,,,yes
$.ContingencyPlan,,String,ContingencyPlan is CP02,,CP02,SUCCESS,,,,
$.ContingencyPlan,,String,ContingencyPlan is CP03,,CP03,SUCCESS,,,,
$.ContingencyPlan,,String,ContingencyPlan is CP04,,CP04,SUCCESS,,,,
$.ContingencyPlan,,String,ContingencyPlan is CP05,,CP05,SUCCESS,,,,
$.ContingencyPlan,,String,ContingencyPlan is invalid value,,CP06,FAILED,,,,
$.ContingencyPlan,,null,ContingencyPlan is null,,,SUCCESS,,,,
$.ContingencyPlan,,String,ContingencyPlan is empty,,,SUCCESS,,,,
$.Reschedule,,null,Reschedule is null,,,SUCCESS,,,,
$.Reschedule,,String,Reschedule is empty,,,SUCCESS,,,,
$.Reschedule,,String,Reschedule is invalid value,,abc,FAILED,,,,
$.Reschedule,,String,Reschedule is valid value,,yes,SUCCESS,,,,yes
